"Series","Model","AIC","BIC","Ljung_Box_pvalue","SSE","RMSE","MAE"
"log(TLB)","ARIMA(0,1,0)",-140.938493334366,-138.987249615784,0.00472915460794832,0.192542323038675,0.126669623772064,0.10231681428952
"log(TLB)","ARIMA(0,1,1)",-139.267197928121,-135.364710490958,0.00773650666645787,0.177140811434507,0.121497877702489,0.0958398204610633
"log(TLB)","ARIMA(1,1,0)",-139.225328115291,-135.322840678129,0.00664996774860094,0.180326023757462,0.122585352495537,0.0972067358450417
"log(TLB)","ARIMA(1,1,0)(0,1,1)[12]",-109.214017855077,-104.147379492736,0.0816663646345678,0.0624217775020487,0.0721236077289357,0.0608324436478718
"log(TLB)","ARIMA(0,1,1)(0,1,1)[12]",-109.182197319881,-104.115558957539,0.0667104209713144,0.0628140454794727,0.0723498706975766,0.0613708712912957
"log(TLB)","ARIMA(4,1,0)(0,1,1)[12]",-108.31945889891,-98.1861821742267,0.205008832529369,0.0809880055148553,0.0821523003912324,0.0710876339971745
"log(TLB)","ARIMA(4,1,1)(0,1,1)[12]",-109.727753616691,-97.9055974378931,0.484581707220968,0.0854265477042548,0.0843734494693358,0.0747296001877301
"log(TLB)","auto.arima",-140.938493334366,-138.987249615784,0.00472915460794832,0.192542323038675,0.126669623772064,0.10231681428952
