"Series","Model","AIC","BIC","Ljung_Box_pvalue","SSE","RMSE","MAE"
"log(TFR)","ARIMA(1,1,0)",-124.525995178563,-120.6235077414,0.00263918720828626,0.384508605705369,0.179003865345921,0.159128974590827
"log(TFR)","ARIMA(0,1,1)",-124.232528870084,-120.330041432921,0.00453538838926848,0.355080089584919,0.17201746267577,0.151461362646361
"log(TFR)","ARIMA(1,1,1)",-127.78650240892,-121.932771253175,0.00481787759381724,0.226710962013514,0.137450282530786,0.117182910108107
"log(TFR)","ARIMA(1,1,1)(0,1,1)[12]",-104.921612996412,-98.1660951799558,0.517523403441333,0.218362483138209,0.13489578790626,0.126846362066906
"log(TFR)","ARIMA(1,1,2)(0,1,1)[12]",-103.432677070822,-94.9882798002526,0.520104386441759,0.22374644003724,0.136548660446633,0.128509124693503
"log(TFR)","ARIMA(4,1,0)(0,1,1)[12]",-102.76071556532,-92.6274388406366,0.764882650552736,0.181918698220662,0.123125511241126,0.112533908427198
"log(TFR)","ARIMA(4,1,1)(0,1,1)[12]",-104.311886627464,-92.4897304486667,0.838654707500648,0.194633853881539,0.127355753004965,0.116773653384948
"log(TFR)","ARIMA(4,1,2)(0,1,1)[12]",-102.318434054927,-88.8073984220152,0.796401193455964,0.193386081937495,0.126946866161101,0.116169569413871
"log(TFR)","auto.arima",-125.64448418375,-121.780832918302,0.00483789283640568,0.140949827364876,0.108378129468417,0.0910125416413132
